1,Time Warner (WB/New Line),22.00%,1787.9,51,39
2,Disney,18.50%,1499.5,54,39
3,NBC/Universal,11.80%,958,25,18
4,Viacom (Paramount),11.30%,914.2,27,21
5,News Corporation (Fox),11.20%,908.3,25,20
6,Sony,10.70%,867.8,45,36
7,MGM/UA,5.50%,448.3,12,11
8,DreamWorks SKG,4.90%,400.8,11,5
9,USA Films,1.70%,141,12,11
10,Lionsgate,0.70%,55.6,21,17
11,Newmarket,0.30%,26.1,2,2
12,IMAX,0.30%,22.3,10,3
13,Artisan,0.20%,13.6,6,5
14,8X Entertainment,0.10%,7.8,2,2
15,WGB.,0.10%,6.4,1,1
16,First Look,0.10%,6.1,3,4
17,N Wave,0.10%,5.3,2,1
18,Samuel Goldwyn,0.10%,4.5,1,1
19,IDP,0.10%,4.3,5,5
20,Cloud Ten,0.10%,4.2,1,1
21,Winstar,0.00%,3.2,5,3
22,IFC,0.00%,3,8,8
23,Kino,0.00%,2.5,1,1
24,Power Point,0.00%,2.3,1,1
25,Purple,0.00%,2.3,1,1
26,Yash Raj,0.00%,2.1,1,1
27,Lot 47,0.00%,2.1,5,4
28,Cowboy,0.00%,2,4,3
29,Eros,0.00%,1.6,7,5
30,Rainbow Releasing,0.00%,1.5,1,1
31,Excel,0.00%,1.3,2,2
32,Seville,0.00%,1.2,1,1
33,Providence,0.00%,1.1,2,2
34,Tips,0.00%,1,1,1
35,Castle Hill,0.00%,0.877,2,1
36,Cho,0.00%,0.847,1,0
37,Set Pictures,0.00%,0.836,1,1
38,Alliance,0.00%,0.763,2,1
39,Roxie,0.00%,0.737,1,0
40,Avatar,0.00%,0.679,3,3
41,Zeitgeist,0.00%,0.668,5,5
42,Access,0.00%,0.59,1,1
43,Jour de Fete,0.00%,0.512,1,1
44,Empire,0.00%,0.424,2,1
45,Wellspring,0.00%,0.369,2,4
46,TSG,0.00%,0.361,4,3
47,Picture This!,0.00%,0.343,2,2
48,Strand,0.00%,0.334,3,2
49,Shadow Dist.,0.00%,0.316,1,1
50,New Yorker,0.00%,0.307,3,6
51,First Run,0.00%,0.227,2,3
52,Iron,0.00%,0.215,1,0
53,Panorama,0.00%,0.196,2,3
54,Filmways,0.00%,0.19,1,1
55,Urbanworld,0.00%,0.188,2,2
56,Equinox,0.00%,0.184,1,1
57,Urban Vision,0.00%,0.151,1,1
58,Maelstrom,0.00%,0.142,1,1
59,Vitagraph,0.00%,0.134,2,2
60,Artistic License,0.00%,0.123,3,3
61,Pioneer,0.00%,0.114,1,1
62,Tidepoint Pictures,0.00%,0.0946,1,1
63,Heartland Film,0.00%,0.0818,1,1
64,2Silk,0.00%,0.0715,1,1
65,Keystone,0.00%,0.0693,2,2
66,Shooting Gallery,0.00%,0.0494,1,1
67,Chris.,0.00%,0.0436,1,1
68,Andora Pictures,0.00%,0.0412,2,2
69,Arrow Releasing,0.00%,0.0306,1,1
70,Rialto,0.00%,0.0287,1,1
71,Blue Steel,0.00%,0.0281,1,1
72,Menemsha,0.00%,0.0279,2,4
73,ADV Films,0.00%,0.0258,1,1
74,Hamzeh Mystique,0.00%,0.025,1,1
75,Gabriel Film Group,0.00%,0.0198,1,1
76,Cinema Village,0.00%,0.0198,2,2
77,Regent Releasing,0.00%,0.0172,1,2
78,Indican,0.00%,0.014,1,1
79,Cinemax,0.00%,0.0128,1,1
80,Attitude Films,0.00%,0.0107,1,1
81,Social Media Productions,0.00%,0.0061,1,1
82,Ibex,0.00%,0.0006,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
