,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Time Warner (WB/New Line),2,1,1,1,1,1,4,1,1,1,1,2,1,1,1,3,2
Disney,1,2,3,2,2,4,3,3,6,5,4,4,3,2,3,2,1
News Corporation (Fox),6,5,4,5,4,2,2,6,5,2,3,6,6,5,2,4,4
Sony,7,6,2,3,3,5,1,4,3,4,5,3,2,4,4,5,5
NBC/Universal,3,3,5,4,5,3,5,5,4,6,6,5,4,3,5,1,3
Viacom (Paramount),4,4,6,6,7,6,6,2,2,3,2,1,7,7,6,6,6
Lionsgate,14,10,11,10,9,8,7,7,7,8,8,10,5,6,7,7,7
DreamWorks SKG,5,8,7,9,6,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MGM/UA,9,7,8,7,10,10,9,8,9,11,12,NA,NA,NA,NA,NA,NA
Weinstein Company,NA,NA,NA,NA,NA,11,8,9,11,9,10,8,8,8,8,8,12
